"srd_id","latitude","longitude","elev","Barren.PLAND","Evergreen.Needleleaf.Forests.PLAND","Evergreen.Broadleaf.Forests.PLAND","Deciduous.Needleleaf.Forests.PLAND","Deciduous.Broadleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Evergreen.Deciduous.Forests.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Sparse.Shrublands.PLAND","Urban.PLAND","Forest.Cropland.Mosaics.PLAND","Natural.Herbaceous.Croplands.Mosaics.PLAND","Herbaceous.Croplands.PLAND","Woody.Wetlands.PLAND","Herbaceous.Wetlands.PLAND"
248286,50.3120471811979,-110.81681799266,716,0,0,0,0,0,0,0,0,0,99.6785505552309,0.321449444769141,0,0,0,0,0,0,0.175336060783168,0,0
248287,50.3120471811979,-110.441302943528,768,0,0,0,0,0,0,0,0,0,99.9702734839477,0.0297265160523187,0,0,0,0,0,0,3.26991676575505,0,0
248288,50.3120471811979,-110.065787894397,791,0,0,0,0,0,0,0,0,0,99.0784780023781,0.921521997621879,0,0,0,0,0,0,55.1129607609988,0,0
248289,50.3120471811979,-109.690272845265,769,0,0,0,0,0,0,0,0,0,99.8810939357907,0.118906064209275,0,0,0,0,0,0,75.2080856123662,0,0
248290,50.3120471811979,-109.314757796133,730,0.475624256837099,0,0,0,0,0,0,0,0,98.8703923900119,0.653983353151011,0,0,0,0,0,0,26.6646848989298,0,0
249760,50.0722408198038,-120.723428867847,1067,0.0594530321046373,15.9631391200951,0,0,0,0.0297265160523187,0,50.0594530321046,3.0321046373365,30.5588585017836,0.297265160523187,0,0,0,1.54577883472057,0,0,1.33769322235434,0,0.0297265160523187
249761,50.0722408198038,-120.349794966482,1198,0.356718192627824,8.115338882283,0,0,0,0,0,45.4518430439952,0.772889417360285,42.8061831153389,0.178359096313912,0,0,0,0,0,0,0.772889417360285,0,0.624256837098692
249762,50.0722408198038,-119.976161065116,1350,0.475624256837099,22.6218787158145,0,0,0,0,0,48.7217598097503,0.326991676575505,27.4078478002378,0.326991676575505,0,0,0,0,0,0,0.624256837098692,0,0.208085612366231
249771,50.0722408198038,-116.61345595283,2010,9.42330558858502,22.8596908442331,0,0.118906064209275,0.148632580261593,0.118906064209275,0,27.05112960761,7.10463733650416,17.538644470868,13.8525564803805,0,0,0,0,0,0,0,0,0.356718192627824
249772,50.0722408198038,-116.239822051464,2121,3.77526753864447,26.8133174791914,0,0,0.0297265160523187,0.0297265160523187,0,39.5065398335315,7.22354340071344,12.7526753864447,9.83947681331748,0,0,0,0,0,0,0,0,0.0594530321046373
